,cell,cell_ontology_class,mouse.id
E9_B000795,E9_B000795,B cell,18_47_F
F10_B000795,F10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
F11_B000795,F11_B000795,B cell,18_47_F
F12_B000795,F12_B000795,"CD8-positive, alpha-beta T cell",18_47_F
F13_B000795,F13_B000795,B cell,18_47_F
F14_B000795,F14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
F15_B000795,F15_B000795,B cell,18_47_F
F16_B000795,F16_B000795,B cell,18_47_F
F17_B000795,F17_B000795,endothelial cell,18_47_F
F3_B000795,F3_B000795,mesenchymal stem cell of adipose,18_47_F
F5_B000795,F5_B000795,mesenchymal stem cell of adipose,18_47_F
F6_B000795,F6_B000795,mesenchymal stem cell of adipose,18_47_F
F7_B000795,F7_B000795,"CD4-positive, alpha-beta T cell",18_47_F
F9_B000795,F9_B000795,B cell,18_47_F
G10_B000795,G10_B000795,macrophage,18_47_F
G11_B000795,G11_B000795,B cell,18_47_F
G12_B000795,G12_B000795,B cell,18_47_F
G14_B000795,G14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
G16_B000795,G16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
G20_B000795,G20_B000795,endothelial cell,18_47_F
G4_B000795,G4_B000795,"CD4-positive, alpha-beta T cell",18_47_F
G9_B000795,G9_B000795,macrophage,18_47_F
H10_B000795,H10_B000795,B cell,18_47_F
H11_B000795,H11_B000795,B cell,18_47_F
H12_B000795,H12_B000795,"CD8-positive, alpha-beta T cell",18_47_F
H13_B000795,H13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
H14_B000795,H14_B000795,B cell,18_47_F
H15_B000795,H15_B000795,B cell,18_47_F
H16_B000795,H16_B000795,B cell,18_47_F
H22_B000795,H22_B000795,endothelial cell,18_47_F
H2_B000795,H2_B000795,mesenchymal stem cell of adipose,18_47_F
H3_B000795,H3_B000795,"CD4-positive, alpha-beta T cell",18_47_F
H5_B000795,H5_B000795,"CD4-positive, alpha-beta T cell",18_47_F
H8_B000795,H8_B000795,mesenchymal stem cell of adipose,18_47_F
H9_B000795,H9_B000795,myeloid cell,18_47_F
I10_B000795,I10_B000795,B cell,18_47_F
I11_B000795,I11_B000795,"CD4-positive, alpha-beta T cell",18_47_F
I12_B000795,I12_B000795,macrophage,18_47_F
I13_B000795,I13_B000795,B cell,18_47_F
I14_B000795,I14_B000795,B cell,18_47_F
I16_B000795,I16_B000795,B cell,18_47_F
I18_B000795,I18_B000795,endothelial cell,18_47_F
I19_B000795,I19_B000795,endothelial cell,18_47_F
I3_B000795,I3_B000795,mesenchymal stem cell of adipose,18_47_F
I6_B000795,I6_B000795,mesenchymal stem cell of adipose,18_47_F
I7_B000795,I7_B000795,mesenchymal stem cell of adipose,18_47_F
I9_B000795,I9_B000795,B cell,18_47_F
J10_B000795,J10_B000795,macrophage,18_47_F
J11_B000795,J11_B000795,"CD4-positive, alpha-beta T cell",18_47_F
J12_B000795,J12_B000795,B cell,18_47_F
J13_B000795,J13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
J14_B000795,J14_B000795,B cell,18_47_F
J15_B000795,J15_B000795,B cell,18_47_F
J16_B000795,J16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
J2_B000795,J2_B000795,mesenchymal stem cell of adipose,18_47_F
J9_B000795,J9_B000795,macrophage,18_47_F
K11_B000795,K11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
K12_B000795,K12_B000795,"CD4-positive, alpha-beta T cell",18_47_F
K13_B000795,K13_B000795,B cell,18_47_F
K14_B000795,K14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
K15_B000795,K15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
K16_B000795,K16_B000795,B cell,18_47_F
K17_B000795,K17_B000795,endothelial cell,18_47_F
K1_B000795,K1_B000795,"CD4-positive, alpha-beta T cell",18_47_F
K2_B000795,K2_B000795,macrophage,18_47_F
K4_B000795,K4_B000795,mesenchymal stem cell of adipose,18_47_F
K5_B000795,K5_B000795,mesenchymal stem cell of adipose,18_47_F
K6_B000795,K6_B000795,mesenchymal stem cell of adipose,18_47_F
K7_B000795,K7_B000795,"CD4-positive, alpha-beta T cell",18_47_F
K8_B000795,K8_B000795,endothelial cell,18_47_F
K9_B000795,K9_B000795,macrophage,18_47_F
L10_B000795,L10_B000795,B cell,18_47_F
L11_B000795,L11_B000795,B cell,18_47_F
L12_B000795,L12_B000795,B cell,18_47_F
L13_B000795,L13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
L14_B000795,L14_B000795,B cell,18_47_F
L15_B000795,L15_B000795,B cell,18_47_F
L16_B000795,L16_B000795,macrophage,18_47_F
L5_B000795,L5_B000795,"CD4-positive, alpha-beta T cell",18_47_F
L7_B000795,L7_B000795,mesenchymal stem cell of adipose,18_47_F
L8_B000795,L8_B000795,mesenchymal stem cell of adipose,18_47_F
L9_B000795,L9_B000795,B cell,18_47_F
M10_B000795,M10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
M11_B000795,M11_B000795,"CD4-positive, alpha-beta T cell",18_47_F
M12_B000795,M12_B000795,B cell,18_47_F
M13_B000795,M13_B000795,"CD4-positive, alpha-beta T cell",18_47_F
M14_B000795,M14_B000795,B cell,18_47_F
M15_B000795,M15_B000795,B cell,18_47_F
M16_B000795,M16_B000795,B cell,18_47_F
M19_B000795,M19_B000795,endothelial cell,18_47_F
M1_B000795,M1_B000795,mesenchymal stem cell of adipose,18_47_F
M22_B000795,M22_B000795,endothelial cell,18_47_F
M7_B000795,M7_B000795,mesenchymal stem cell of adipose,18_47_F
M8_B000795,M8_B000795,mesenchymal stem cell of adipose,18_47_F
M9_B000795,M9_B000795,B cell,18_47_F
N10_B000795,N10_B000795,"CD4-positive, alpha-beta T cell",18_47_F
N11_B000795,N11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
N12_B000795,N12_B000795,"CD8-positive, alpha-beta T cell",18_47_F
N14_B000795,N14_B000795,macrophage,18_47_F
N17_B000795,N17_B000795,endothelial cell,18_47_F
N19_B000795,N19_B000795,endothelial cell,18_47_F
N1_B000795,N1_B000795,mesenchymal stem cell of adipose,18_47_F
N6_B000795,N6_B000795,"CD4-positive, alpha-beta T cell",18_47_F
N7_B000795,N7_B000795,mesenchymal stem cell of adipose,18_47_F
N8_B000795,N8_B000795,"CD4-positive, alpha-beta T cell",18_47_F
N9_B000795,N9_B000795,macrophage,18_47_F
O10_B000795,O10_B000795,B cell,18_47_F
O11_B000795,O11_B000795,B cell,18_47_F
O12_B000795,O12_B000795,B cell,18_47_F
O16_B000795,O16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
O1_B000795,O1_B000795,"CD4-positive, alpha-beta T cell",18_47_F
O2_B000795,O2_B000795,"CD4-positive, alpha-beta T cell",18_47_F
O3_B000795,O3_B000795,mesenchymal stem cell of adipose,18_47_F
O5_B000795,O5_B000795,"CD4-positive, alpha-beta T cell",18_47_F
O8_B000795,O8_B000795,mesenchymal stem cell of adipose,18_47_F
O9_B000795,O9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P12_B000795,P12_B000795,B cell,18_47_F
P13_B000795,P13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P14_B000795,P14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P15_B000795,P15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P16_B000795,P16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
P2_B000795,P2_B000795,mesenchymal stem cell of adipose,18_47_F
P5_B000795,P5_B000795,mesenchymal stem cell of adipose,18_47_F
P8_B000795,P8_B000795,mesenchymal stem cell of adipose,18_47_F
P9_B000795,P9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A10_B000477,A10_B000477,myeloid cell,18_53_M
A10_B000806,A10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
A11_B000477,A11_B000477,macrophage,18_53_M
A11_B000806,A11_B000806,macrophage,18_46_F
A12_B000477,A12_B000477,"CD8-positive, alpha-beta T cell",18_53_M
A12_B000806,A12_B000806,macrophage,18_46_F
A13_B000477,A13_B000477,myeloid cell,18_53_M
A13_B000806,A13_B000806,B cell,18_46_F
A14_B000806,A14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
A15_B000477,A15_B000477,"CD8-positive, alpha-beta T cell",18_53_M
A16_B000477,A16_B000477,myeloid cell,18_53_M
A16_B000806,A16_B000806,macrophage,18_46_F
A17_B000477,A17_B000477,endothelial cell,18_53_M
A21_B000477,A21_B000477,endothelial cell,18_53_M
A5_B000806,A5_B000806,mesenchymal stem cell of adipose,18_46_F
A6_B000477,A6_B000477,mesenchymal stem cell of adipose,18_53_M
A9_B000806,A9_B000806,B cell,18_46_F
B10_B000477,B10_B000477,myeloid cell,18_53_M
B10_B000806,B10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
B11_B000477,B11_B000477,"CD4-positive, alpha-beta T cell",18_53_M
B11_B000806,B11_B000806,B cell,18_46_F
B12_B000477,B12_B000477,B cell,18_53_M
B12_B000806,B12_B000806,"CD8-positive, alpha-beta T cell",18_46_F
B13_B000477,B13_B000477,B cell,18_53_M
B13_B000806,B13_B000806,B cell,18_46_F
B14_B000806,B14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
B15_B000477,B15_B000477,"CD8-positive, alpha-beta T cell",18_53_M
B15_B000806,B15_B000806,B cell,18_46_F
B16_B000477,B16_B000477,"CD8-positive, alpha-beta T cell",18_53_M
B16_B000806,B16_B000806,myeloid cell,18_46_F
B17_B000477,B17_B000477,endothelial cell,18_53_M
B17_B000806,B17_B000806,endothelial cell,18_46_F
B18_B000477,B18_B000477,endothelial cell,18_53_M
B18_B000806,B18_B000806,mesenchymal stem cell of adipose,18_46_F
B1_B000806,B1_B000806,mesenchymal stem cell of adipose,18_46_F
B21_B000477,B21_B000477,endothelial cell,18_53_M
B3_B000477,B3_B000477,mesenchymal stem cell of adipose,18_53_M
B4_B000477,B4_B000477,mesenchymal stem cell of adipose,18_53_M
B6_B000477,B6_B000477,mesenchymal stem cell of adipose,18_53_M
B9_B000477,B9_B000477,"CD8-positive, alpha-beta T cell",18_53_M
B9_B000806,B9_B000806,"CD8-positive, alpha-beta T cell",18_46_F
C10_B000477,C10_B000477,B cell,18_53_M
C10_B000806,C10_B000806,macrophage,18_46_F
C11_B000477,C11_B000477,B cell,18_53_M
C12_B000477,C12_B000477,B cell,18_53_M
C12_B000806,C12_B000806,macrophage,18_46_F
C13_B000806,C13_B000806,macrophage,18_46_F
C14_B000477,C14_B000477,B cell,18_53_M
C15_B000477,C15_B000477,myeloid cell,18_53_M
C15_B000806,C15_B000806,"CD8-positive, alpha-beta T cell",18_46_F
C16_B000477,C16_B000477,"CD4-positive, alpha-beta T cell",18_53_M
C17_B000477,C17_B000477,endothelial cell,18_53_M
C18_B000477,C18_B000477,endothelial cell,18_53_M
C19_B000477,C19_B000477,endothelial cell,18_53_M
C1_B000806,C1_B000806,mesenchymal stem cell of adipose,18_46_F
C2_B000477,C2_B000477,mesenchymal stem cell of adipose,18_53_M
C3_B000806,C3_B000806,mesenchymal stem cell of adipose,18_46_F
C4_B000806,C4_B000806,mesenchymal stem cell of adipose,18_46_F
C7_B000806,C7_B000806,mesenchymal stem cell of adipose,18_46_F
C9_B000477,C9_B000477,B cell,18_53_M
D10_B000477,D10_B000477,macrophage,18_53_M
D10_B000806,D10_B000806,B cell,18_46_F
D11_B000477,D11_B000477,B cell,18_53_M
D11_B000806,D11_B000806,"CD8-positive, alpha-beta T cell",18_46_F
D12_B000477,D12_B000477,"CD8-positive, alpha-beta T cell",18_53_M
D12_B000806,D12_B000806,"CD8-positive, alpha-beta T cell",18_46_F
D13_B000477,D13_B000477,myeloid cell,18_53_M
D14_B000477,D14_B000477,"CD8-positive, alpha-beta T cell",18_53_M
D14_B000806,D14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
D15_B000477,D15_B000477,B cell,18_53_M
D15_B000806,D15_B000806,B cell,18_46_F
D16_B000477,D16_B000477,B cell,18_53_M
D17_B000477,D17_B000477,endothelial cell,18_53_M
D3_B000477,D3_B000477,mesenchymal stem cell of adipose,18_53_M
D8_B000806,D8_B000806,mesenchymal stem cell of adipose,18_46_F
D9_B000477,D9_B000477,"CD8-positive, alpha-beta T cell",18_53_M
D9_B000806,D9_B000806,"CD8-positive, alpha-beta T cell",18_46_F
E10_B000477,E10_B000477,"CD8-positive, alpha-beta T cell",18_53_M
E10_B000806,E10_B000806,macrophage,18_46_F
E11_B000477,E11_B000477,"CD8-positive, alpha-beta T cell",18_53_M
E11_B000806,E11_B000806,macrophage,18_46_F
E12_B000477,E12_B000477,myeloid cell,18_53_M
E13_B000477,E13_B000477,myeloid cell,18_53_M
E13_B000806,E13_B000806,B cell,18_46_F
E14_B000477,E14_B000477,myeloid cell,18_53_M
E14_B000806,E14_B000806,myeloid cell,18_46_F
E15_B000477,E15_B000477,myeloid cell,18_53_M
E15_B000806,E15_B000806,"CD8-positive, alpha-beta T cell",18_46_F
E16_B000477,E16_B000477,"CD8-positive, alpha-beta T cell",18_53_M
E1_B000806,E1_B000806,mesenchymal stem cell of adipose,18_46_F
E20_B000806,E20_B000806,endothelial cell,18_46_F
E22_B000806,E22_B000806,endothelial cell,18_46_F
E2_B000806,E2_B000806,mesenchymal stem cell of adipose,18_46_F
E3_B000477,E3_B000477,mesenchymal stem cell of adipose,18_53_M
E3_B000806,E3_B000806,mesenchymal stem cell of adipose,18_46_F
E5_B000477,E5_B000477,mesenchymal stem cell of adipose,18_53_M
E9_B000806,E9_B000806,B cell,18_46_F
F10_B000477,F10_B000477,B cell,18_53_M
F10_B000806,F10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
F11_B000477,F11_B000477,"CD8-positive, alpha-beta T cell",18_53_M
F11_B000806,F11_B000806,B cell,18_46_F
F12_B000477,F12_B000477,"CD8-positive, alpha-beta T cell",18_53_M
F12_B000806,F12_B000806,B cell,18_46_F
F13_B000477,F13_B000477,B cell,18_53_M
F13_B000806,F13_B000806,"CD8-positive, alpha-beta T cell",18_46_F
F14_B000477,F14_B000477,myeloid cell,18_53_M
F14_B000806,F14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
F15_B000477,F15_B000477,B cell,18_53_M
F15_B000806,F15_B000806,macrophage,18_46_F
F16_B000477,F16_B000477,"CD8-positive, alpha-beta T cell",18_53_M
F16_B000806,F16_B000806,"CD8-positive, alpha-beta T cell",18_46_F
F18_B000477,F18_B000477,endothelial cell,18_53_M
F5_B000806,F5_B000806,mesenchymal stem cell of adipose,18_46_F
F6_B000477,F6_B000477,mesenchymal stem cell of adipose,18_53_M
G10_B000477,G10_B000477,B cell,18_53_M
G10_B000806,G10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
G11_B000806,G11_B000806,B cell,18_46_F
G13_B000806,G13_B000806,macrophage,18_46_F
G14_B000477,G14_B000477,"CD8-positive, alpha-beta T cell",18_53_M
G14_B000806,G14_B000806,macrophage,18_46_F
G15_B000477,G15_B000477,myeloid cell,18_53_M
G16_B000477,G16_B000477,macrophage,18_53_M
G16_B000806,G16_B000806,myeloid cell,18_46_F
G17_B000477,G17_B000477,endothelial cell,18_53_M
G2_B000806,G2_B000806,mesenchymal stem cell of adipose,18_46_F
G3_B000806,G3_B000806,mesenchymal stem cell of adipose,18_46_F
G5_B000477,G5_B000477,mesenchymal stem cell of adipose,18_53_M
G9_B000477,G9_B000477,myeloid cell,18_53_M
G9_B000806,G9_B000806,B cell,18_46_F
H10_B000477,H10_B000477,B cell,18_53_M
H10_B000806,H10_B000806,"CD4-positive, alpha-beta T cell",18_46_F
H11_B000477,H11_B000477,myeloid cell,18_53_M
H12_B000477,H12_B000477,"CD4-positive, alpha-beta T cell",18_53_M
H12_B000806,H12_B000806,myeloid cell,18_46_F
H13_B000477,H13_B000477,"CD8-positive, alpha-beta T cell",18_53_M
H13_B000806,H13_B000806,B cell,18_46_F
H14_B000477,H14_B000477,"CD8-positive, alpha-beta T cell",18_53_M
H14_B000806,H14_B000806,B cell,18_46_F
H15_B000477,H15_B000477,myeloid cell,18_53_M
H15_B000806,H15_B000806,"CD4-positive, alpha-beta T cell",18_46_F
H16_B000477,H16_B000477,"CD8-positive, alpha-beta T cell",18_53_M
H16_B000806,H16_B000806,"CD4-positive, alpha-beta T cell",18_46_F
H18_B000477,H18_B000477,endothelial cell,18_53_M
H19_B000806,H19_B000806,endothelial cell,18_46_F
H22_B000477,H22_B000477,endothelial cell,18_53_M
H2_B000477,H2_B000477,mesenchymal stem cell of adipose,18_53_M
H3_B000806,H3_B000806,mesenchymal stem cell of adipose,18_46_F
H8_B000477,H8_B000477,mesenchymal stem cell of adipose,18_53_M
H9_B000477,H9_B000477,macrophage,18_53_M
H9_B000806,H9_B000806,B cell,18_46_F
I10_B000477,I10_B000477,myeloid cell,18_53_M
I10_B000806,I10_B000806,B cell,18_46_F
I11_B000806,I11_B000806,"CD4-positive, alpha-beta T cell",18_46_F
I12_B000477,I12_B000477,macrophage,18_53_M
I12_B000806,I12_B000806,"CD4-positive, alpha-beta T cell",18_46_F
I13_B000477,I13_B000477,B cell,18_53_M
I13_B000806,I13_B000806,"CD4-positive, alpha-beta T cell",18_46_F
I14_B000477,I14_B000477,"CD8-positive, alpha-beta T cell",18_53_M
I14_B000806,I14_B000806,B cell,18_46_F
I15_B000477,I15_B000477,"CD8-positive, alpha-beta T cell",18_53_M
I16_B000477,I16_B000477,myeloid cell,18_53_M
I16_B000806,I16_B000806,"CD8-positive, alpha-beta T cell",18_46_F
I17_B000477,I17_B000477,endothelial cell,18_53_M
I2_B000806,I2_B000806,mesenchymal stem cell of adipose,18_46_F
I6_B000806,I6_B000806,mesenchymal stem cell of adipose,18_46_F
I7_B000477,I7_B000477,mesenchymal stem cell of adipose,18_53_M
I9_B000477,I9_B000477,"CD4-positive, alpha-beta T cell",18_53_M
I9_B000806,I9_B000806,macrophage,18_46_F
J10_B000477,J10_B000477,myeloid cell,18_53_M
J11_B000806,J11_B000806,myeloid cell,18_46_F
J12_B000477,J12_B000477,B cell,18_53_M
J12_B000806,J12_B000806,B cell,18_46_F
J13_B000477,J13_B000477,B cell,18_53_M
J13_B000806,J13_B000806,"CD4-positive, alpha-beta T cell",18_46_F
J14_B000806,J14_B000806,myeloid cell,18_46_F
J15_B000477,J15_B000477,myeloid cell,18_53_M
J17_B000477,J17_B000477,endothelial cell,18_53_M
J1_B000477,J1_B000477,mesenchymal stem cell of adipose,18_53_M
J20_B000806,J20_B000806,endothelial cell,18_46_F
J5_B000477,J5_B000477,mesenchymal stem cell of adipose,18_53_M
J9_B000477,J9_B000477,myeloid cell,18_53_M
J9_B000806,J9_B000806,B cell,18_46_F
K10_B000477,K10_B000477,"CD4-positive, alpha-beta T cell",18_53_M
K11_B000477,K11_B000477,myeloid cell,18_53_M
K12_B000477,K12_B000477,myeloid cell,18_53_M
K13_B000477,K13_B000477,myeloid cell,18_53_M
K13_B000806,K13_B000806,macrophage,18_46_F
K14_B000477,K14_B000477,B cell,18_53_M
K14_B000806,K14_B000806,B cell,18_46_F
K15_B000477,K15_B000477,"CD8-positive, alpha-beta T cell",18_53_M
K15_B000806,K15_B000806,myeloid cell,18_46_F
K16_B000477,K16_B000477,B cell,18_53_M
K16_B000806,K16_B000806,"CD4-positive, alpha-beta T cell",18_46_F
K3_B000477,K3_B000477,mesenchymal stem cell of adipose,18_53_M
K5_B000477,K5_B000477,mesenchymal stem cell of adipose,18_53_M
K6_B000806,K6_B000806,mesenchymal stem cell of adipose,18_46_F
K7_B000806,K7_B000806,endothelial cell,18_46_F
K9_B000477,K9_B000477,B cell,18_53_M
K9_B000806,K9_B000806,"CD4-positive, alpha-beta T cell",18_46_F
L10_B000477,L10_B000477,B cell,18_53_M
L10_B000806,L10_B000806,B cell,18_46_F
L11_B000477,L11_B000477,B cell,18_53_M
L12_B000477,L12_B000477,B cell,18_53_M
L12_B000806,L12_B000806,macrophage,18_46_F
L13_B000477,L13_B000477,B cell,18_53_M
L13_B000806,L13_B000806,B cell,18_46_F
L14_B000477,L14_B000477,myeloid cell,18_53_M
L14_B000806,L14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
L15_B000477,L15_B000477,B cell,18_53_M
L16_B000477,L16_B000477,B cell,18_53_M
L16_B000806,L16_B000806,"CD4-positive, alpha-beta T cell",18_46_F
L1_B000477,L1_B000477,mesenchymal stem cell of adipose,18_53_M
L20_B000477,L20_B000477,endothelial cell,18_53_M
L21_B000477,L21_B000477,endothelial cell,18_53_M
L2_B000477,L2_B000477,mesenchymal stem cell of adipose,18_53_M
L3_B000477,L3_B000477,mesenchymal stem cell of adipose,18_53_M
L4_B000477,L4_B000477,mesenchymal stem cell of adipose,18_53_M
L9_B000477,L9_B000477,B cell,18_53_M
L9_B000806,L9_B000806,macrophage,18_46_F
M10_B000477,M10_B000477,myeloid cell,18_53_M
M10_B000806,M10_B000806,"CD8-positive, alpha-beta T cell",18_46_F
M11_B000477,M11_B000477,myeloid cell,18_53_M
M12_B000477,M12_B000477,B cell,18_53_M
M12_B000806,M12_B000806,macrophage,18_46_F
M13_B000477,M13_B000477,myeloid cell,18_53_M
M13_B000806,M13_B000806,macrophage,18_46_F
M14_B000806,M14_B000806,B cell,18_46_F
M15_B000477,M15_B000477,myeloid cell,18_53_M
M15_B000806,M15_B000806,B cell,18_46_F
M16_B000477,M16_B000477,macrophage,18_53_M
M16_B000806,M16_B000806,"CD4-positive, alpha-beta T cell",18_46_F
M18_B000477,M18_B000477,endothelial cell,18_53_M
M2_B000806,M2_B000806,mesenchymal stem cell of adipose,18_46_F
M4_B000806,M4_B000806,mesenchymal stem cell of adipose,18_46_F
M5_B000477,M5_B000477,mesenchymal stem cell of adipose,18_53_M
M9_B000477,M9_B000477,myeloid cell,18_53_M
M9_B000806,M9_B000806,B cell,18_46_F
N10_B000477,N10_B000477,"CD8-positive, alpha-beta T cell",18_53_M
N10_B000806,N10_B000806,B cell,18_46_F
N11_B000477,N11_B000477,myeloid cell,18_53_M
N11_B000806,N11_B000806,B cell,18_46_F
N12_B000477,N12_B000477,myeloid cell,18_53_M
N12_B000806,N12_B000806,myeloid cell,18_46_F
N13_B000477,N13_B000477,myeloid cell,18_53_M
N13_B000806,N13_B000806,macrophage,18_46_F
N14_B000477,N14_B000477,myeloid cell,18_53_M
N14_B000806,N14_B000806,"CD4-positive, alpha-beta T cell",18_46_F
N15_B000477,N15_B000477,myeloid cell,18_53_M
N15_B000806,N15_B000806,macrophage,18_46_F
N16_B000477,N16_B000477,macrophage,18_53_M
N16_B000806,N16_B000806,B cell,18_46_F
N17_B000477,N17_B000477,endothelial cell,18_53_M
N1_B000477,N1_B000477,mesenchymal stem cell of adipose,18_53_M
N1_B000806,N1_B000806,mesenchymal stem cell of adipose,18_46_F
N3_B000477,N3_B000477,mesenchymal stem cell of adipose,18_53_M
N4_B000806,N4_B000806,mesenchymal stem cell of adipose,18_46_F
N5_B000477,N5_B000477,mesenchymal stem cell of adipose,18_53_M
N7_B000806,N7_B000806,mesenchymal stem cell of adipose,18_46_F
N8_B000806,N8_B000806,mesenchymal stem cell of adipose,18_46_F
N9_B000477,N9_B000477,myeloid cell,18_53_M
O10_B000477,O10_B000477,myeloid cell,18_53_M
O10_B000806,O10_B000806,macrophage,18_46_F
O11_B000477,O11_B000477,B cell,18_53_M
O11_B000806,O11_B000806,"CD8-positive, alpha-beta T cell",18_46_F
O12_B000477,O12_B000477,myeloid cell,18_53_M
O13_B000477,O13_B000477,macrophage,18_53_M
O14_B000477,O14_B000477,myeloid cell,18_53_M
O14_B000806,O14_B000806,macrophage,18_46_F
O15_B000477,O15_B000477,"CD4-positive, alpha-beta T cell",18_53_M
O15_B000806,O15_B000806,macrophage,18_46_F
O16_B000477,O16_B000477,"CD8-positive, alpha-beta T cell",18_53_M
O16_B000806,O16_B000806,macrophage,18_46_F
O4_B000477,O4_B000477,mesenchymal stem cell of adipose,18_53_M
O5_B000477,O5_B000477,mesenchymal stem cell of adipose,18_53_M
O5_B000806,O5_B000806,mesenchymal stem cell of adipose,18_46_F
O7_B000806,O7_B000806,mesenchymal stem cell of adipose,18_46_F
O9_B000477,O9_B000477,myeloid cell,18_53_M
O9_B000806,O9_B000806,"CD8-positive, alpha-beta T cell",18_46_F
P10_B000477,P10_B000477,"CD8-positive, alpha-beta T cell",18_53_M
P11_B000477,P11_B000477,B cell,18_53_M
P12_B000477,P12_B000477,myeloid cell,18_53_M
P13_B000477,P13_B000477,myeloid cell,18_53_M
P14_B000477,P14_B000477,"CD8-positive, alpha-beta T cell",18_53_M
P14_B000806,P14_B000806,B cell,18_46_F
