S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25
4776 2846 1546 2327 1621 3006 2146 3336 2246 3565 3910 2223 2734 2758 3857 2332 4586 2893 1781 4812 3488 2152 2774 2693 3526
5870 4022 4533 6561 3338 4314 9111 4541 5875 4554 7620 6760 4220 4269 4114 7368 4071 7481 3215 4178 4537 4504 1654 3990 2435
1593 2476 1051 1198 1588 1912 1827 1106 502 1538 1619 1236 2135 1044 732 1347 1290 2389 1287 1296 405 423 396 221 587
1724 3366 2690 2210 2622 3196 2860 1693 1935 2742 3432 2056 2842 1168 2641 1854 1664 4375 2374 1001 1118 1954 2044 1937 1405
4444 3852 2497 2742 1991 2684 1520 1718 2768 2397 1913 1541 1436 2166 3214 2628 1178 2160 2663 848 2053 1491 807 1232 976
2086 3501 2064 3181 2191 3018 3837 3083 3028 2829 3216 3434 1816 3340 2278 4263 2651 4534 3761 3579 950 1122 1022 1547 1103
2098 3325 4616 2222 2812 3352 1898 1271 2871 2812 3609 2140 4232 1440 3474 3920 2080 3918 3528 3305 2000 2818 1629 1806 1700
3202 2708 4168 2107 2728 2708 2482 2994 2822 3676 2633 1743 3880 2773 3166 3178 3552 2339 3713 4547 838 471 505 380 533
3879 2207 2921 2448 4432 2085 2362 3967 3418 2574 2498 2600 2547 2618 2288 2260 3165 1970 2966 2989 4102 2078 1816 4482 3325
882 1554 1261 837 1032 1228 893 1017 1107 1759 480 1369 768 898 688 694 1620 1133 805 764 3724 2374 5679 1232 3378
351 626 1179 706 660 508 553 889 519 406 377 831 390 1088 698 618 585 676 410 566 2254 4743 662 2519 6270
2974 3660 2613 4896 4894 3254 3859 4543 6282 3220 3847 8201 4114 4044 4608 4692 4421 6333 6030 3428 9371 10544 8568 7602 9209
1478 1355 822 1631 1341 1057 1927 695 1088 1102 1011 614 1289 1940 1213 1828 1512 1359 1361 1191 2244 2066 3587 2531 2275
4006 3187 5618 2338 3854 3641 3998 3908 3899 2585 7316 3174 2110 3243 3940 5646 4716 2477 3384 4329 548 859 777 608 880
1397 2086 1296 1818 1106 1841 1976 2224 1004 2011 2130 1435 2908 2600 1164 1183 1917 2256 1411 2024 6191 5165 4347 3331 5734
938 865 1285 1099 472 1021 1160 557 927 1511 1682 1745 1647 843 1618 1369 1259 1175 1164 1075 2036 2565 8505 3557 3853
313 631 868 197 385 530 536 767 301 533 804 493 447 484 835 593 624 436 448 473 4230 3774 5114 4240 2820
4468 4509 4972 5502 1889 2496 4498 3548 5026 3979 3988 2228 4206 4238 7246 6400 3305 3827 6573 4179 3630 2924 2615 2031 3086
2494 2155 1251 1953 2549 3727 2490 1417 1620 1580 1788 1706 3110 1746 2224 1728 1681 2168 1018 2996 2255 4171 2828 2359 3000
3043 3342 3738 4168 3110 5020 2630 2324 2878 1818 4566 3645 3462 3914 2785 5105 4820 3347 3266 2473 1921 3753 2290 1575 2561
3827 3390 3153 6024 4224 4840 3594 3358 4011 5808 9171 6681 3066 3969 4167 3786 2818 2487 4430 2996 2492 2659 2190 1229 1231
547 440 348 556 566 488 463 252 543 644 306 343 379 478 650 547 364 431 191 430 3119 982 1532 3986 2742
3318 3548 2359 2245 1831 4318 1654 2775 3023 4419 4560 2819 2575 1908 2415 2148 2356 4048 2362 2111 739 1726 443 1055 775
1792 2329 2227 2895 3733 1609 7362 2311 2808 3071 3988 2367 1802 1474 3556 3848 1429 2674 1771 1961 2999 2029 4697 1598 2358
819 916 1740 1337 1452 1156 1185 1190 1131 1119 1284 1262 831 919 658 1327 648 665 929 1246 2822 1613 1248 1570 2401
795 483 980 660 883 764 1250 906 505 852 930 758 690 795 1228 751 829 839 1064 995 6818 5204 6582 5689 6590
5154 5945 4771 4436 7864 4966 3264 5261 4711 6109 6168 6949 2126 3231 5733 5004 3619 7559 5120 3644 457 1356 927 921 903
11071 7607 7306 9914 14649 7646 8854 8611 8987 12535 14026 5982 6197 15916 7078 8590 11482 7813 6799 8613 173 253 203 170 225
1560 2988 1967 2023 1148 2743 2177 1334 2187 2334 953 1564 1010 2041 1791 1634 1363 784 1683 1658 2754 2893 3265 4918 2783
3328 3394 1644 3206 3313 4470 2889 3318 2745 2756 4731 2852 2488 3499 3324 2123 3213 3510 1767 3821 1730 1306 1262 1131 1073
996 968 1312 1044 1083 1704 1645 1415 1206 1851 1672 1503 1453 1540 1940 1629 1282 2107 1693 979 2755 2759 1981 2227 2430
8503 13188 11095 10652 14817 8646 14124 8919 8755 8635 11356 6827 11757 9366 4589 10341 8978 16840 14355 10045 4262 5424 3439 3755 5538
4336 2240 4951 6245 5434 8544 5122 6732 4243 6003 2886 5296 8809 3915 4966 5319 7246 5371 2266 8050 2043 1564 2915 2191 1353
2891 4692 5100 2489 4067 2232 3245 3658 3871 3298 3431 3346 2661 4564 3518 2499 5430 3415 4761 3286 1214 1332 1313 958 690
2290 2877 1639 1469 2094 1814 2697 2671 993 1210 2762 3942 1534 1413 1837 1539 1180 2553 3138 3069 572 1095 697 875 670
2060 2853 5204 1558 2705 3904 6362 3725 4112 4156 4455 4963 4583 3991 1605 5323 3914 1624 2338 4972 5990 5970 5047 4377 5001
4400 3366 2465 3752 2600 3814 4332 4384 2768 3193 4113 3745 6102 2788 2730 2074 4701 5309 2209 3179 1049 1022 783 626 1139
939 1820 1420 2125 2933 2922 1830 1802 2081 1791 1318 2255 800 2537 1709 2530 1808 1265 1505 2813 3556 2163 1787 2383 2256
6550 6787 3474 3793 4085 3874 6929 4448 4420 3274 4501 5277 3625 5372 2918 3542 4813 5801 6997 2987 682 1061 1495 2124 1283
2480 2781 2607 2575 1493 1321 1179 1956 2992 1473 1928 2986 1893 4146 3183 1017 1741 2611 1777 2670 1663 1490 1092 1237 1387
1069 2429 875 1764 1424 2856 1803 2082 1483 2590 1354 2051 1959 1502 1086 1399 2721 1776 2210 2109 4037 1678 1356 5334 1868
7753 3951 6565 3251 2599 8498 6018 3040 4228 3760 2976 4012 5481 5116 4623 2296 2227 3387 1977 3022 2666 1830 1895 2248 1635
346 278 316 218 244 251 248 506 128 329 396 290 238 325 370 368 384 238 267 239 1066 1760 1188 566 1482
2685 1224 1073 1892 1687 1711 1283 1562 2235 958 2831 1041 1572 834 1343 1005 1131 1517 1986 1337 3666 2090 1943 3206 1750
2087 1379 2099 2457 2263 1651 3122 2478 2868 2221 1435 2030 2115 2025 2514 1823 2890 2902 2350 1553 1062 1333 2785 1281 2088
865 605 1276 1110 1093 1298 1026 1393 2128 1130 495 775 1780 655 788 1394 913 564 712 1640 1707 1898 2519 2630 2730
1627 2222 1087 1808 1441 1123 1479 1815 1961 2200 2586 1506 1440 1509 1901 1960 1278 2159 1720 1054 3058 2242 1511 2368 3439
2462 4680 2047 4014 2411 3709 3599 4093 2734 3260 3727 2505 2257 2517 3011 2496 3819 2248 4270 2903 2876 3885 7953 3855 8471
3717 4030 5625 4200 6076 5103 4600 1562 4969 1435 3788 4227 4739 2434 5665 4245 4107 4221 3764 4864 2101 2915 3597 3443 1772
2990 2678 2886 1779 1969 2886 3200 2148 2536 2282 2193 1050 1476 2133 2043 1674 3380 2807 3564 4040 1655 1253 1950 1654 2272
1402 1191 1626 2050 2440 1196 2113 2223 786 935 854 2824 1409 1253 1334 2011 3087 2246 936 2657 474 514 277 598 353
950 1607 770 1058 760 1371 766 1444 998 764 1528 1541 764 1641 1050 1259 1144 1300 1549 1225 2167 1616 2013 2455 1704
3111 3164 2406 1600 2051 2564 990 2411 2511 2595 3152 3279 1615 1171 4151 2103 1085 2336 3323 2097 3345 2914 3504 2030 2227
3191 2438 2115 1311 4662 2140 3658 2786 2429 3000 2391 2582 2010 1787 3823 3257 3048 3428 2062 3407 2733 4738 2707 3373 3000
2544 1274 2613 2132 1611 2249 1401 1235 1818 1097 1566 2529 1461 2112 2120 1237 2485 2146 2284 1330 5732 6079 11529 6789 9733
6331 6282 4696 5524 3445 3707 5389 3857 2282 5106 4281 4170 1538 3100 5027 5438 4850 6018 2617 4145 3653 3993 2078 4994 5694
932 1795 1358 1075 950 811 1560 1400 1243 1167 1682 1801 782 378 1537 1520 1185 667 2623 1474 1870 1008 1012 809 2096
1502 1031 2521 1962 1432 2023 2016 2518 1968 1955 2083 1756 977 2226 1511 2273 1391 1065 1649 2835 958 1528 1049 1095 1006
1674 3246 3098 2156 3078 2445 3287 4943 2621 3168 6032 3874 3095 6324 2868 3349 4252 3139 3600 3579 8806 10377 6878 10143 9316
4641 5075 3767 6793 8140 5234 4767 5860 4730 4410 5834 7190 3037 5754 4631 6452 5154 5216 7044 6844 2543 1746 1300 1973 926
392 656 523 438 476 822 701 472 480 633 656 706 603 590 834 569 569 658 887 469 1856 1227 2472 1626 2977
1531 607 1702 1002 1942 2124 1470 1554 995 2000 1393 1276 1330 1843 1191 1010 1076 1032 1679 3257 9829 7535 4120 7219 7348
3906 1905 1943 4183 2421 2361 2498 2002 2693 1900 2113 2113 1871 2847 1840 2655 1767 2291 1893 1758 177 190 327 164 126
2309 2755 1419 1628 2148 1660 2239 2292 1562 2723 1959 2036 2152 3079 2754 1873 3125 2163 3328 1720 720 619 1016 434 1047
1583 975 907 1353 985 1518 854 1507 753 1544 1035 1008 887 1361 2704 858 1138 1634 1605 1202 2101 2992 2381 1867 3795
3068 7502 5707 2444 4382 3941 2293 5526 4343 5375 3396 2738 2156 3245 2821 4292 5022 2817 2811 3122 1155 1605 815 1875 1788
1304 2115 2712 1646 1617 1912 2151 2850 2693 3555 2224 1783 2292 2629 2783 3133 3286 2702 2063 3022 3414 3380 4923 2475 4964
1750 830 2078 1557 893 1454 864 1227 2279 1428 1395 1993 986 1721 1066 1102 1084 1141 1334 1556 1473 1803 1921 1436 2967
680 1707 620 1089 790 643 658 934 1002 731 903 1240 518 1107 636 709 1151 1090 858 733 1817 1667 1459 2219 1173
2263 1814 2286 2884 3992 1454 2718 1468 3065 2330 3097 1772 1154 2257 3078 3402 1593 2803 2373 2870 2422 3133 1498 1593 2134
2715 2666 3465 2772 2153 2072 1889 2406 2653 1783 3369 2745 3019 2616 2594 1982 2213 2451 1915 2619 1007 843 875 684 842
574 1648 1165 362 763 776 1001 781 751 775 1120 806 579 1152 1226 1146 1700 879 907 1027 6275 4303 6513 3876 6313
4088 5869 4091 4285 5396 5091 3319 2824 4843 3389 3455 4863 3844 2962 5525 4818 2432 7488 3744 3092 1286 672 980 508 919
2595 1808 1645 1880 2080 1649 2739 2335 1978 983 1740 1731 1425 2145 2355 2209 1922 1620 2553 2264 539 479 645 573 622
1023 1470 1190 1002 760 975 1077 1218 1311 984 1084 727 759 903 930 774 1115 864 696 1167 2750 1648 1699 858 1486
577 1037 775 1057 597 735 529 751 527 926 910 942 919 919 354 1503 1277 1817 636 631 903 1415 1144 824 1258
2051 2732 2718 2320 1718 2386 2268 2074 4001 1530 1645 3495 2012 2287 1652 2619 2464 1765 992 2001 2808 2415 2838 3031 3203
2588 7259 6457 4703 8210 7391 5285 9449 5203 5221 7641 5713 8213 4586 7225 7111 4137 5018 5352 3698 1552 2062 2218 2307 1558
4064 5016 5123 4776 2463 6333 4843 3447 4804 4009 7041 4313 3911 5158 5864 3859 3572 4754 4901 5758 1191 767 1085 1771 884
4124 2034 3722 3137 2196 5065 2711 3526 3683 4949 1606 1280 2329 2866 2644 1319 3012 4153 2059 3206 3199 1934 2486 1954 3199
7748 14242 9404 7979 8605 9750 11168 8934 13191 11374 13265 9111 11077 10837 5806 10416 13685 14537 15809 14495 237 610 525 526 475
2819 2331 1614 2013 2949 1359 2965 1408 2971 1941 1745 1737 2971 2229 1931 3151 1966 1513 1767 1650 1504 2525 3007 3197 2962
2004 4930 3628 3194 4745 5030 2829 3532 4262 2223 3801 2616 3608 3198 4037 1717 1958 4466 4458 4389 248 191 262 343 202
636 596 879 809 986 1421 1383 593 1222 1242 496 369 586 628 475 787 855 755 560 802 4839 3750 2349 4326 4451
6229 12128 19746 6962 7324 13116 4995 12017 10765 8475 15957 13560 13328 15390 7594 5678 13592 11499 13499 8635 1442 1351 1980 1548 1420
916 843 1442 601 1283 729 657 568 1514 684 836 1359 1027 455 1040 633 1377 659 820 902 5237 3846 5598 3905 4604
1594 1379 1185 1317 2745 1783 2686 1836 1415 1813 1228 880 2667 1429 1581 1413 1263 1589 1575 1262 1755 2677 1610 1734 2500
1359 2079 2800 2464 1484 1980 2954 1698 2319 2674 2068 2260 2358 3321 2754 2933 1297 1730 2605 1951 1261 1209 2617 1180 2318
4210 1921 2545 2499 2663 3135 2931 2773 1105 1719 1635 1375 1232 3432 2237 2595 4780 2827 3273 3020 6561 8977 2655 3861 3601
1388 1051 1249 971 845 981 1318 1638 940 1290 755 578 1026 1227 1383 1276 983 921 452 785 9364 5496 3464 3969 2795
3422 4653 6014 4285 3183 7421 7031 4837 6025 4217 4655 6363 5395 5417 3074 2533 3898 3752 3179 5755 685 597 358 1212 425
314 607 337 455 410 246 426 442 507 194 427 249 356 501 378 512 477 581 267 344 5777 8106 4126 2623 3046
1294 795 975 646 1163 1226 661 656 1231 1128 944 810 886 1061 1189 1492 1051 780 602 856 11691 11084 6055 7283 6966
1035 2363 1951 1610 2442 1914 1820 2208 1098 1560 927 644 2124 3546 1469 1425 2099 1406 1486 2098 628 961 760 1066 702
3369 3569 1770 3381 4801 2703 3284 3374 2554 4817 5324 2896 4563 3679 3306 6678 4898 2946 2006 3904 2252 2001 1908 1793 2988
2568 2566 2285 3144 3313 2809 1575 2488 2493 2733 2096 1644 3332 1429 2764 3215 2362 1416 2375 2621 1763 2786 3426 2715 3273
2745 941 1513 2744 2460 2394 2315 1766 3089 1356 808 853 1661 2218 1286 3372 1272 1412 2586 1890 4349 6904 3077 6180 7824
705 677 402 710 623 911 810 667 876 395 835 610 274 653 416 556 518 518 1077 742 2885 3350 4459 6943 1954
2189 2797 2156 3255 1814 2296 1682 2412 1131 1312 1317 1488 1749 2922 1523 1356 2812 1633 1774 1497 3159 4796 6442 2740 4623
2136 2000 3070 2393 4142 2676 3779 4566 3268 1630 2428 1985 2886 1462 2107 2758 3014 836 2618 2539 1451 534 2371 2477 1076
1603 1836 2050 1867 927 987 839 1010 809 1435 1524 986 1861 1282 2028 975 1188 1337 2453 1454 2241 2568 3239 2636 1533
2072 1077 2297 581 1685 1589 2063 1382 818 1108 839 1011 1374 792 1462 1401 912 922 1519 916 1799 2142 1717 3317 1547
3263 2226 3079 3847 3611 3467 3803 3370 4725 3386 2915 3106 3236 4767 4229 4219 1998 4504 4845 3702 9342 5859 7673 2077 8691
392 593 535 240 358 233 550 619 407 620 458 549 594 780 392 556 565 323 507 379 1155 1059 1300 1118 1146
1718 2250 2094 2519 946 1998 1256 2971 2600 2052 1697 1683 1451 1979 1535 2400 2475 1960 1630 1042 2036 3363 2122 2500 1909
204 152 187 225 181 176 156 274 102 141 171 203 157 91 196 141 193 105 209 123 5080 3177 8068 9676 7727
3725 2897 1363 2505 2309 2172 2442 2827 2116 3108 2400 3023 3118 2238 3162 3334 2934 3494 3198 2674 2660 1780 2135 3637 2176
2437 2466 2539 1994 2164 2523 1078 2681 1999 1291 2208 982 2441 2154 1262 1660 1756 1752 1547 1928 3369 7179 5075 4520 7864
3646 4251 4389 6027 7288 5228 6746 5437 5073 7434 4668 5368 2604 6123 5946 3597 9256 3474 6252 6117 2099 966 1684 1383 2590
603 499 692 789 541 313 1024 774 574 532 768 601 624 585 624 740 902 602 1163 462 8990 6722 6057 2374 3495
624 957 548 741 479 727 541 616 323 472 484 535 759 557 492 434 649 372 845 563 485 819 725 605 578
258 390 219 116 220 333 199 274 288 368 253 199 380 352 371 317 136 165 125 221 412 162 287 319 673
1366 1872 829 853 769 1820 1434 1684 1640 1415 988 1548 723 1920 1021 1598 1109 1068 1680 585 729 877 927 572 591
2465 2086 2029 1446 2286 2438 1906 1610 1927 1603 1514 1314 1441 1690 1665 1707 2228 2085 1726 2720 2344 4480 2500 2966 4239
4655 3236 6099 5899 4626 4005 5551 5630 3045 5193 3542 6497 3002 5117 6987 3609 5092 4602 4342 3037 424 309 424 172 443
696 2631 1402 2051 1347 886 1087 1484 1700 1507 783 1534 902 1418 1090 1927 1373 1359 1813 2453 3185 5595 3143 2302 2696
6284 6388 3713 5210 3483 4833 7328 7185 4898 10080 7912 6118 3906 4855 5224 9301 5951 4267 4875 7407 4950 6669 7086 3315 5419
7043 4159 6648 2705 4859 6342 9418 4644 10745 4964 7094 5548 7465 5905 2091 6771 3290 6083 6665 6925 2767 1452 3428 2741 2814
1392 2526 2768 2435 3228 1775 1722 2880 3893 2368 1094 1554 2427 2958 1502 3320 2093 2692 3918 1684 2126 756 1352 2698 1834
787 582 458 793 685 435 754 376 462 856 596 655 646 774 629 546 567 572 484 512 2256 2940 1613 1726 1433
5705 7007 4306 2332 6332 4228 5049 6619 7139 4738 4677 4785 7539 4817 6007 6518 4277 4352 9478 3389 535 572 421 808 777
6863 3816 3378 6322 5130 3063 8858 8776 7369 4373 8059 6093 5578 6407 3784 4810 8676 6726 5735 6348 3840 2305 3061 3349 2232
4867 6819 3706 3209 6999 5652 5624 9892 7092 6759 4190 6073 7195 4690 9024 6307 7778 7184 11155 4738 5442 5785 2391 3632 4574
5589 10702 2494 6533 6595 5159 4386 6143 9517 9530 5338 4151 8958 3269 4875 3742 6213 2592 4081 5753 5444 3733 3535 3110 2970
54 67 68 92 18 87 36 50 29 47 56 73 54 73 40 30 48 40 72 35 1087 1807 1578 834 1083
2863 2567 1855 3589 2765 3193 2999 3024 4489 3155 4040 4039 3003 3439 3611 2778 2947 1965 2282 4910 1118 974 1646 1302 1903
6441 4512 5877 6736 7601 5871 3515 7672 4905 8229 11621 3607 6156 7862 4177 5613 5047 6817 7552 5219 1657 1872 1705 886 2602
5474 5116 6263 5914 8406 6731 7574 3696 4581 5132 10834 11010 8757 7178 4454 5716 10230 8380 3079 9284 1470 3193 1290 1951 1470
867 1439 901 506 993 1542 942 674 954 923 1376 993 1082 791 1009 1178 1928 903 876 1289 1707 1173 1179 1326 678
1479 1051 1268 1623 1877 1519 1140 1404 1139 2217 954 969 1113 1010 1308 922 951 2220 1364 1446 1296 1411 1377 1371 2179
4787 3450 9331 7137 5888 3390 7994 6008 4240 5679 5521 6271 10304 5566 5615 8140 4303 5655 4335 10407 2405 2196 3295 2849 1327
4245 3895 6330 7453 6632 2302 7478 4606 8015 3072 4627 7133 4459 4390 2089 3475 5558 7501 7148 3221 5383 3579 4829 3684 4054
1906 1404 2293 810 734 2906 1445 844 2437 1184 1368 921 1181 832 891 1746 727 1478 1188 823 5772 3241 2885 4036 6312
1997 1897 1383 1463 1927 2168 1210 1311 1403 1919 1028 1343 1111 2454 1329 1646 1580 1194 2210 1607 4464 3779 5268 7626 4793
2565 1718 4084 2159 2510 1828 3183 1783 3062 1425 1894 2854 1237 2103 1898 1431 3329 4087 3234 1273 1949 2917 2086 1852 2060
5673 3549 2202 4132 3753 5475 2844 5791 6125 2695 3098 3726 4807 3461 3935 5857 7029 4694 7407 5942 1460 1269 3064 2993 2095
5811 9427 2347 3992 5171 3487 4604 3404 5293 5666 7842 4203 2929 4212 4803 7462 5407 2195 5460 8002 3102 3567 4862 4563 3717
1941 1053 2420 1732 2145 1293 1780 2986 1347 1931 1560 947 1688 2165 1214 3180 1619 1916 1512 2511 1944 1822 1625 2353 1888
2569 1556 3274 3248 4134 5854 3467 3054 2865 2751 3059 2714 2712 5704 2579 3991 4081 3256 2722 2043 3055 2828 2164 4087 3327
3220 2998 2747 3729 2131 2435 3571 3480 2358 2312 3630 2841 3570 2399 3896 2106 5102 2520 3280 3275 3097 2960 3918 5898 1485
896 1112 1658 889 1471 702 1582 1312 891 1148 681 952 1256 878 653 781 989 554 869 951 3798 5588 7421 3232 3978
3028 1267 1755 1762 1709 2601 1407 1231 1521 2075 2586 1080 2368 1805 1595 1912 1376 1142 2731 916 1312 2062 2272 2042 1649
2493 2893 2907 5404 2661 3978 1820 1639 2911 3741 2114 1906 2490 3349 2503 1909 2747 2730 1581 2966 1107 1087 729 966 1363
840 984 1256 943 1311 954 843 1033 843 885 754 734 1165 1599 1705 947 1815 1039 922 1151 3917 4106 2057 3616 2996
2448 1679 1747 3509 4956 1506 2066 3363 2855 3707 2992 3566 2177 4056 3465 2136 3253 3165 1822 2742 795 624 357 672 710
3044 10728 3222 2965 5090 7240 6735 6229 6023 4437 4114 5953 3944 5085 3323 7386 2986 3221 3623 4451 7077 2382 2479 3384 5807
8383 7232 9901 8822 4595 4421 8256 7395 6160 6995 7561 5776 10470 9146 9467 10588 12267 8562 7715 4960 552 542 935 664 425
2145 1078 1845 2804 1120 2672 2597 2152 1731 3478 2306 2406 2849 1678 2245 1867 1520 1184 2014 1550 3339 1774 4420 2095 2513
7943 10310 9795 6934 3542 6865 11084 8349 13550 14466 7597 7350 5636 6722 11473 7345 7941 9135 9721 6780 3290 1542 2490 2811 2233
2132 1183 2770 2617 2623 3203 2297 1481 2255 3564 3944 2094 3617 3586 2771 2447 2936 2685 1835 2605 1371 1953 1804 1058 968
784 1603 1855 1321 1493 893 1053 1477 2321 810 1008 1262 2135 1539 1347 1363 1150 1153 1438 1250 1160 1011 1575 1266 1134
9241 10889 13239 13894 7670 10220 8119 12191 11198 10907 6016 13016 10908 14020 15280 13072 16778 10228 12365 13593 2441 1715 1949 3146 1941
9293 15039 7433 10046 5908 13671 10847 7912 6711 9710 8113 11190 16351 4723 13953 12011 9540 6328 6926 10804 4116 4618 2244 3451 2866
2181 1849 1833 1569 1647 2273 1991 2267 2021 1444 2145 1689 532 1584 1857 2128 2130 1536 2036 1284 2319 1544 2148 1933 1718
1783 934 845 824 828 1595 1247 1369 1306 1749 1547 1183 1770 1622 1092 902 1501 1020 1060 2326 682 406 593 465 241
7212 5122 6349 6971 6387 5699 6744 4374 9653 5738 4554 6678 6580 12186 6987 2847 9125 4578 5387 5448 2713 3295 1400 2766 1652
1057 879 1182 808 1072 681 913 450 455 612 1619 684 1004 1305 749 1217 896 784 1055 536 5011 5489 11625 4501 5037
3028 4533 5005 4014 5556 6134 2976 3937 4670 6234 5306 3834 7350 3638 5272 7926 5869 4939 7976 5676 1222 1111 1462 1244 934
582 400 1237 626 1193 611 1757 665 881 870 908 1015 804 768 1885 1114 688 768 1323 834 1224 673 2652 2193 2169
2225 2792 3440 2201 2906 2913 2006 4007 4879 1490 3614 4097 3106 3814 2325 3801 3769 3823 4411 3049 195 199 406 214 501
4936 3034 3146 3730 2519 3566 2002 2504 2608 1338 2401 2958 3769 2010 2113 3903 2383 3569 2238 1934 2942 3801 2863 2659 1981
4895 7822 3960 8395 8568 9662 12060 9807 6128 7199 10269 6055 5397 8554 6263 7987 5029 6251 6316 4838 3114 3624 4176 4771 5909
2544 1687 1203 1757 1876 1272 1756 818 1872 1473 1735 884 1538 1553 2408 1186 1500 1019 1408 1150 2711 3365 3022 3151 5788
2959 4180 1936 3060 2187 2846 2633 2549 3338 3032 1876 3575 2322 4557 4736 2699 2527 3783 1387 3708 316 310 127 210 283
791 997 819 540 1533 1130 885 802 789 1023 1139 756 585 1224 1383 1095 1714 880 1903 1176 59 36 113 35 63
3536 4138 6407 5855 3593 8554 3633 4052 5790 5769 3744 4169 2393 2842 4703 3233 7176 3059 3575 2644 937 902 1283 912 621
5054 4714 5666 1767 4845 2280 8358 6911 5033 2578 5351 3876 2556 4204 5732 5024 2296 3319 3989 9603 714 2426 712 855 1512
1337 1569 903 1375 1456 1307 514 1616 1152 1872 2298 2824 2045 772 592 1060 1823 1348 877 2078 288 923 1173 438 679
2518 3225 4115 2255 2910 1941 1866 3147 2787 1377 2471 3485 2770 1062 1656 1306 1461 1961 1958 2374 7561 9623 12544 9006 9037
5499 3689 5080 5232 8304 2659 2835 3374 4926 3767 3749 3162 5137 3294 5946 2041 3228 5064 5190 7631 2506 3255 2227 1740 1751
732 666 477 621 621 446 460 412 357 493 478 655 701 641 962 412 799 613 811 515 1558 1671 906 940 2253
305 435 348 282 346 229 219 493 348 284 308 396 244 239 298 444 444 318 319 407 2369 2510 1393 1443 1710
1048 850 604 991 713 814 743 769 1039 500 616 713 719 696 468 1199 1980 780 1088 574 4935 4489 3503 4135 3347
5432 6353 3979 7133 5607 6366 5653 5270 5611 5006 3225 4420 5268 4741 8678 5716 2394 4765 3894 5832 1564 1070 1469 1952 1825
2124 1924 3723 2314 3207 2185 2368 1575 1737 1073 2165 2094 1691 1879 2262 2629 2600 1849 3736 3145 1143 509 1581 677 1117
1287 1650 1458 1449 862 1667 1326 2575 1451 743 1240 1251 763 3445 2310 894 948 1046 1411 1525 2372 3541 2072 1332 2884
495 425 492 659 583 484 896 858 540 835 660 264 487 449 525 820 430 482 1073 527 576 1204 851 755 1027
1015 820 564 1187 1228 1061 853 1488 340 871 1477 1509 1000 965 996 1047 1023 924 711 1397 3005 3013 4495 3854 3601
8463 8725 5982 4548 6895 5507 8923 5262 6202 8085 3519 4545 7593 4658 3119 4636 5063 6543 7649 4853 2590 1711 2224 2061 2426
736 875 1536 797 951 1056 1104 1392 993 722 2363 2031 1229 1345 1205 1250 1914 2039 822 502 4857 3924 6281 4859 3074
3841 4085 3741 4159 3441 4222 1753 2516 3448 5425 5170 2107 4200 4624 3106 2198 1549 4197 1433 3128 1375 1930 1416 1523 1211
604 583 345 734 1361 449 1278 910 1159 427 937 1243 623 1209 961 810 952 694 478 612 2744 5607 3882 4513 3018
3176 4531 3308 2465 4179 2971 4140 3199 6472 3738 2283 3730 3050 5484 2162 4224 3960 4832 3014 3916 1199 2291 1693 1418 1670
1609 3034 1362 1896 2556 1342 1346 1349 1837 1665 628 2852 1393 1137 1074 941 2869 1397 1686 1857 3908 2328 5187 2700 3921
