S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20
1311 4835 1705 1701 2640 5087 3213 6093 1327 5207 2943 5355 7364 10203 3998 5191 3155 1683 6458 4945
733 2237 675 896 483 2660 3381 2390 616 3911 2015 5560 5791 2967 1214 3439 1227 1635 6127 4124
646 2185 1123 1223 1085 2841 3211 2232 2060 3423 2354 1286 2704 4273 2080 1535 1225 1808 2392 3361
2040 5786 1565 2113 1730 2435 3292 5151 2302 5403 4222 4699 9006 6663 1628 4462 1905 3162 3199 6644
304 1257 765 458 607 2238 1773 2155 532 860 1295 2885 774 2568 774 1326 996 985 2652 1885
4913 7345 6734 6098 4301 10205 6694 12881 3625 11350 5035 17820 26864 19150 6178 7005 5194 5835 17415 13728
2137 7980 2547 2737 4393 6127 3511 3761 3050 4100 3557 10460 5466 8742 4584 3352 3552 4604 13787 7036
2036 5152 3017 1374 3373 3898 4234 9460 2477 9822 2936 5368 10069 11621 4079 3104 2974 4196 16492 6264
2857 6708 5745 2419 2182 10997 6322 10493 4334 6008 3174 11500 7088 15913 5847 5104 4130 2707 12925 9408
1037 2940 1882 873 2345 3712 2173 3383 1917 2935 2011 4553 5762 3643 1430 3496 1637 1779 4662 2705
2714 3523 1376 1772 1995 4301 2941 6641 1677 2542 2108 4641 5494 6415 2463 2249 2395 2327 8311 4877
491 1545 785 752 239 625 1030 838 324 1101 1182 1853 1043 1700 704 775 655 693 1581 2343
1558 3351 1582 1481 955 2352 2877 2412 997 2717 2913 5664 8022 6009 2348 1921 1255 2131 7989 4755
132 468 224 184 214 565 483 745 269 874 574 645 646 517 500 423 321 234 608 715
748 542 795 850 979 856 1443 1808 269 2031 1271 2373 1810 2680 1116 1904 485 988 1833 954
899 2237 1111 1170 1366 2802 2610 2935 1744 1560 1846 3338 3749 3628 1403 1491 2307 1117 1905 5157
293 1497 1312 892 679 1184 947 3247 513 2457 947 3650 2584 3396 974 3225 1014 1822 2801 1995
514 1539 657 647 411 1801 886 2026 495 1481 724 2460 2323 2303 433 952 543 949 2588 2605
1339 3289 1155 731 1028 2785 2148 4387 629 2338 530 3419 1157 2554 2016 1543 655 1090 1973 2418
521 1294 1378 800 528 1044 1123 1671 610 2067 1195 1831 1353 3730 1123 1020 757 635 2270 1381
661 985 1142 1195 708 1855 1503 3131 1213 1419 4946 11244 7692 13421 4504 5271 2957 3365 15424 4377
905 1738 1064 382 833 1370 1226 2042 901 1169 1541 2834 2231 2426 1709 1264 801 1092 4884 2214
204 1557 433 408 271 1124 1426 874 542 1407 560 1759 1323 1169 854 1323 917 621 1839 2446
804 3114 759 954 1101 1369 811 2183 1562 4887 1582 5231 4396 7021 2653 2891 2491 1635 4829 3883
421 1001 151 267 645 998 479 1427 438 1084 1027 1103 1151 1461 749 1071 560 572 1331 914
1344 9249 2828 1368 2062 4645 5444 9981 1301 6297 3085 8933 11766 12031 6038 7375 4446 3891 6222 4711
331 641 477 413 630 1368 955 1752 783 1606 929 1992 2138 2543 611 676 1011 748 2070 2297
354 1078 478 276 370 1834 1627 1059 399 1450 1022 1280 1387 2642 857 1239 396 483 1250 1620
1042 4190 1723 1179 834 4381 2797 3178 1094 4091 1863 3511 5017 6008 1209 1576 2169 3009 3757 4456
527 2028 925 445 466 1749 1960 1180 632 2894 990 1804 2282 1876 611 1152 817 881 1987 1460
436 1688 685 505 431 1146 1486 663 516 1691 1360 2014 2181 3230 661 946 783 852 1615 1887
1029 2689 1231 827 760 4904 1994 5481 1283 4390 4161 2882 9375 7005 2123 3505 2492 1433 4203 4550
868 2456 1392 1374 1049 1314 1513 2235 981 3461 1874 3131 2427 3176 1499 1087 547 1525 3301 2748
545 2499 1160 665 616 1308 1986 2529 853 2112 1171 3626 3542 2842 1762 1667 1028 1810 2613 3193
790 1910 1182 703 1055 3923 1531 2894 1249 1890 2250 1163 5200 3531 1305 1420 1425 1679 3337 2057
2342 1855 3781 2476 2507 7268 7097 8265 4698 6274 3547 12229 9016 13949 8415 3639 3915 3772 12185 10022
630 2198 452 687 359 1753 1401 3465 556 3408 1464 4694 1538 3110 1504 1172 885 1995 3910 2622
2427 2682 1701 2407 1014 7298 3043 4998 1633 5828 5270 2947 5131 6075 3313 4395 2389 2567 6866 5530
607 1140 598 511 534 1540 877 1554 381 1089 1792 4986 2345 4583 1303 1739 1482 1541 3835 5073
2874 6675 3583 3716 2557 8077 10978 12927 5084 9547 2088 13156 12543 14768 5115 5623 4802 2453 13852 5482
662 1907 680 550 645 2018 1093 2479 731 1449 605 1313 2549 1391 685 1669 1476 923 1861 2502
575 1809 970 991 579 2902 1419 2056 799 1662 1409 2776 2012 3258 1914 2007 877 1351 3681 1848
383 906 739 503 495 842 1512 2517 1074 1907 1367 2732 1747 2282 1578 981 1281 740 1957 2070
1053 930 1287 878 1058 1788 1944 1228 1059 1719 940 2542 4128 4334 652 2001 1110 1095 2471 3611
1585 5555 1963 1609 2165 7901 4027 7587 2518 5708 4990 6486 6442 12951 2083 5863 4282 2082 3497 7384
1182 1880 732 775 405 1299 1865 2979 1314 1722 1161 3531 2677 1823 1202 1654 909 976 4412 1900
1532 3071 1062 2061 1248 5528 3193 5074 1817 7370 3655 5866 8231 9414 1515 2572 1782 4101 4627 3512
3035 6239 3532 5105 4046 9626 8721 8698 4101 9568 10323 18239 9573 15618 2856 7652 10141 6585 12249 13598
443 858 636 318 374 986 576 1546 177 1106 137 494 260 307 161 275 189 119 417 398
852 2144 1834 1930 1341 4378 2428 3394 1528 3545 1390 3447 4897 4161 2059 3169 2128 1708 6885 5193
702 3346 966 572 805 2260 1119 1593 607 1918 1421 1660 2620 2359 792 1590 682 1092 2436 2021
919 3770 1386 1873 1012 2524 3737 3545 731 1755 1938 4700 3756 4457 1523 1967 1365 1491 2018 1571
3168 2436 2407 3173 5552 7034 5999 8670 3542 6773 8208 22598 14716 7120 7151 5465 3117 2886 7699 9121
3480 6145 4387 2114 3255 10219 4901 11703 1692 5285 7115 7082 17092 17927 6591 9472 4702 5557 11778 14042
786 1339 424 772 309 1303 1000 1881 893 1520 1249 1849 2473 1770 746 1430 1032 703 1984 937
256 479 341 155 268 961 355 470 181 1112 484 725 1135 1351 356 393 149 456 614 447
1017 1833 1381 2151 1243 3119 3254 4048 788 5069 2974 4492 4663 4409 2050 4443 1120 1895 7162 5859
3130 6672 2855 4187 2856 7491 6232 7147 3354 7184 13044 55116 37511 29762 15923 23579 13209 9752 21337 33809
1943 6941 3389 2071 1796 4835 5261 5460 2011 5578 6241 5743 9222 4331 2881 4540 3764 1972 10556 3356
1335 3353 1499 925 2408 3167 3437 3202 1548 4659 1220 5350 4255 8074 1851 2365 2476 1410 3988 3896
805 1219 638 617 658 2350 1638 3432 413 1308 915 1783 2219 2000 1561 764 1372 1027 2858 2380
1018 1962 1740 683 923 3133 3837 2193 996 2490 1374 4313 1910 3928 1703 2247 1303 1299 3289 1536
3433 6821 4158 2767 3923 6423 9190 16520 6146 9737 23562 24702 54765 33106 8722 33428 7982 21679 34366 22746
320 755 231 659 234 863 1143 765 416 1812 495 1163 1567 1140 577 939 655 810 1158 2262
206 856 366 528 358 865 483 656 377 1165 959 689 1099 1237 834 960 320 635 814 638
813 1122 1118 1475 739 2173 1700 2217 566 3156 1237 3229 3128 4153 1693 1777 1126 1046 2962 2847
915 1951 451 959 1131 1913 2127 3285 1454 2892 1313 4588 3479 4542 898 2385 1126 2144 4210 2645
2484 4711 1310 1711 2421 5246 3378 4304 2268 8223 3442 6457 5367 14353 4184 5574 2035 4528 4271 2772
1107 5287 935 1367 960 2746 4514 4295 1207 6755 4092 6274 9689 5592 2748 2700 2740 2155 7092 4207
557 739 629 659 541 1670 1901 1993 628 1608 1153 2613 1781 2069 745 1620 962 933 2356 2308
1265 3613 1714 1234 467 5058 2003 6231 777 4668 2243 5607 4664 4072 2822 3408 2134 2297 2307 2773
2926 9954 1634 1831 1380 3237 4319 8855 1524 8328 2574 5629 3775 9510 4765 3646 2054 2542 7236 5362
1670 3685 1460 1045 1351 4419 1812 3774 1388 3265 2208 3261 3886 9282 1570 2240 1964 1624 6370 6322
245 1426 300 597 450 1442 1192 2792 715 1624 1094 2164 1237 1831 1293 518 1404 681 2139 1473
88 233 223 135 60 360 480 481 159 509 242 497 300 577 345 250 114 267 512 455
4304 4530 2262 2280 2510 9259 6408 11238 4791 4773 5678 12719 13927 6067 1487 3983 3026 4092 9623 6316
527 904 349 199 305 889 362 1572 317 967 674 1317 1353 1910 502 762 334 875 917 1075
749 4521 851 549 325 2653 1420 2875 1076 1898 1978 1578 2722 3664 1670 1099 733 1317 3274 2405
655 3610 1220 856 1402 2443 3327 5141 1552 4289 1300 5955 2832 5496 2202 1901 2083 2017 3352 2745
765 2850 1267 1861 984 2552 4007 2762 1368 3065 2911 4486 5850 8532 2026 4665 1961 1865 5406 3789
1240 2054 1157 2157 734 4045 3504 7938 1346 3424 3106 2399 3528 6140 2960 1859 1779 1300 6319 2827
1994 3703 2052 2498 2825 5502 3606 5214 1956 3203 3746 9187 7320 8396 5426 9005 5095 3139 10904 9132
1397 4515 3380 2380 2704 3265 4242 5848 1620 8148 1930 6757 5909 5996 2650 5292 2747 4053 5816 8440
343 411 358 389 449 1530 632 1442 449 431 255 176 349 246 296 345 234 87 289 228
609 990 636 423 718 1101 1040 1936 854 1486 672 1168 2185 2126 647 1402 418 664 2070 1218
2002 3772 2890 2180 1039 2957 3770 4293 1263 3755 4030 3588 4558 4678 2600 5369 2367 2692 5367 4440
1122 4597 1953 1010 751 2545 1331 3558 921 1894 1056 4384 4541 6267 641 2758 1452 1869 3499 2343
486 2412 646 1027 873 2542 1751 3479 759 1827 2192 2597 4847 2815 1757 2395 2081 1069 2286 2335
403 1012 290 321 233 887 542 660 451 1073 344 960 993 997 677 693 584 626 1492 1038
2177 6569 1908 1322 2646 6108 8996 9142 2613 7772 3882 5170 6795 11578 4662 2973 4238 4039 11624 7504
1232 3712 2294 2370 1203 2564 2131 4174 2979 6093 2131 4365 4901 5456 1255 1935 1595 2943 4100 2254
520 1989 486 480 569 1387 1020 1674 680 2108 753 1526 2213 2273 1088 818 577 723 1673 2221
353 1040 162 362 318 729 796 601 228 487 436 824 1662 1490 588 343 470 407 721 827
2445 3842 2145 1154 1729 1844 3486 7728 1881 6688 13461 27356 21310 38292 18800 8614 10414 6428 20768 16644
494 1218 439 608 208 1502 931 1054 371 823 870 2619 898 2253 873 1235 364 446 1035 1286
799 3327 1885 1722 2546 3253 3621 5640 2106 4330 3379 21564 13528 13664 6078 9396 2979 6288 10365 7952
438 2229 772 485 625 1563 1154 3177 1019 1307 1282 3158 1498 3757 1075 1831 1025 1094 2217 1059
1081 2494 1171 640 1779 2263 3147 2145 949 2983 1957 3102 7831 5859 2903 4595 1327 993 5054 4416
1595 3743 1293 1494 1694 3705 2620 5271 734 3485 5295 19687 24769 11033 7477 9486 4272 4292 8804 8170
916 2563 1637 969 971 2896 1728 2065 863 4050 2206 4909 1905 3848 1279 1918 973 1094 4358 2456
687 6267 2083 1828 2307 4510 4254 8650 2447 5093 5679 5187 10679 11295 6026 7852 6571 4876 8822 8584
1031 2649 614 912 1042 2018 1178 2690 692 4035 1212 3346 5620 3959 2376 1478 882 1218 2339 2392
961 2905 1437 1344 1078 2369 2777 4986 1175 3832 1317 2220 8127 2121 1561 2244 1700 2461 5361 3902
223 1013 639 498 477 759 768 1456 336 855 617 1637 2123 882 638 695 805 519 1170 1148
1989 7118 2258 4384 3119 7741 6768 8646 3893 7187 3666 5757 12318 6351 4623 8280 4422 2210 10222 13009
885 3936 1279 1298 1189 2779 2479 3120 1144 2094 1110 2907 4454 5778 1357 2036 2385 1522 2636 3844
505 527 384 541 286 600 955 1211 343 775 513 2093 996 1724 467 729 747 365 1166 964
1461 3198 1501 1231 1157 5898 3193 2840 1671 4075 3191 7904 3374 4946 2066 2867 3209 1755 3902 3640
1039 1522 616 505 541 948 1154 1785 1110 962 1673 2281 3486 2730 1284 1106 743 1201 1493 1959
576 2008 701 776 1224 1148 528 2742 368 1331 1220 1908 1738 3302 1307 2127 672 1165 1800 2743
253 1340 476 479 532 721 1181 1945 1007 1690 786 2154 828 2666 670 1616 826 556 1194 1308
380 827 472 614 412 897 533 1383 825 1727 695 1549 835 2050 765 1150 843 692 1653 2083
601 1784 746 1231 375 1232 782 1280 591 1492 1010 1561 1440 2553 1248 1069 1229 860 2875 1999
350 1982 1001 606 672 1829 1658 2072 316 1732 768 2619 1351 3220 741 1864 948 937 1830 2916
1611 5057 1220 809 1738 3741 3052 4967 1897 5698 2118 4559 3007 5274 4294 4029 2907 2015 7295 4617
1567 3818 1351 1408 1570 3738 2834 3694 1206 4227 2790 6607 5440 4003 2101 1484 1764 1289 4578 4393
1542 6891 2452 1594 1449 3582 3735 6433 1194 4025 4390 3785 4272 7069 2667 2771 3061 1477 5154 5279
263 368 239 268 165 291 558 572 282 361 200 640 806 596 448 378 175 254 664 441
977 1736 681 2068 1294 3070 2204 3922 1199 3266 2449 4183 6725 5717 1448 1732 1694 2085 2462 3077
1640 2752 893 880 1437 1661 1302 2641 917 4279 2050 5260 5265 7406 2446 1978 982 3008 2343 3485
2908 8509 2671 2101 1724 3963 2632 4849 1969 5810 8469 12976 13136 17253 8290 6121 6112 5733 16842 8588
1813 2731 1018 1181 1085 3333 2688 3594 2270 3484 1607 3464 8223 4749 2298 2784 1431 2420 2102 2250
281 932 256 441 533 1428 569 1152 306 500 443 1748 1060 1448 653 1171 365 290 683 613
379 1864 648 458 575 1769 1105 1662 545 1946 766 1705 2710 2611 825 422 1181 815 2098 917
584 2327 1708 1817 1458 3633 4924 4290 2156 2468 1594 3324 8221 7538 2108 2635 2401 3086 2105 3793
2069 3008 1072 1622 1131 3812 3584 4187 1508 6764 1583 8315 6343 9421 2612 1958 3251 2645 4522 4113
1470 6925 1989 2522 1795 6726 5037 6783 1472 2694 1526 9258 4954 8878 2399 3229 3088 2607 4093 8505
1074 1750 2319 1251 1919 2637 4793 8735 708 6377 2725 6359 7942 2797 2129 3300 2992 1573 2855 3990
224 464 362 260 164 355 722 723 293 438 476 810 1402 965 812 926 437 312 809 899
166 670 210 109 260 415 299 535 210 929 336 487 830 280 350 303 201 184 643 398
323 1215 1925 605 801 2114 1059 1770 530 1178 934 2206 1583 2866 877 1218 1170 1067 1266 1326
2445 6327 2069 2456 2188 5443 3739 5493 2898 5138 3289 6790 7759 6208 4189 8538 3722 4396 8279 8781
602 1379 851 1131 757 2795 1470 1905 576 1468 1839 2515 3046 2796 863 1966 1091 2041 1855 3528
888 3654 1058 739 609 2912 1795 2866 1755 2310 1659 6276 3256 3209 2103 3032 1776 2119 4244 2837
696 2515 1006 754 772 2704 661 3925 614 2405 3247 4382 4399 4347 1317 1934 945 1580 4131 3658
816 2613 975 1086 1575 5356 1896 3054 1444 1767 878 812 2694 1571 1071 1012 327 686 1926 1751
435 1047 434 492 324 1274 1100 1215 381 1153 485 1091 1268 899 633 351 389 489 819 1645
520 1895 2651 1734 1972 4185 6078 4863 2187 7117 3151 11766 9593 7719 1270 2543 2277 1436 6797 3124
424 926 866 734 818 1349 996 1702 352 1675 856 1145 3219 2811 909 1212 1382 747 2107 2304
1615 4315 1923 2505 3167 6974 3519 8156 3107 8839 5047 10044 11472 12066 6601 3408 1856 2312 3800 5975
800 1198 885 666 754 2048 1877 2487 1170 2607 1428 3819 2990 2135 2620 2420 1507 1141 3208 2115
1761 10998 6244 1667 3653 7947 8367 9786 3211 10068 4268 11024 14957 7937 6693 6605 3829 5100 8128 15385
202 506 358 326 305 718 669 775 135 497 340 1235 621 742 319 562 482 275 852 799
509 1813 1399 857 651 3020 2341 3112 1247 1795 1297 4549 2906 6478 1866 2015 693 2033 4323 2661
2026 4728 1967 2072 3072 9496 6027 7289 2868 8708 3619 10576 10991 9902 6530 5323 1346 2754 13412 9991
1177 4555 2395 2225 1712 7438 2982 6249 1537 6567 4267 5369 10854 5208 1028 4277 4254 1412 5071 4497
1051 1657 692 1379 964 3961 2696 2343 1414 3545 1882 5024 3558 2900 2399 2041 1168 1355 3444 1666
816 2099 664 958 509 1586 1617 2241 613 1884 1939 2930 1863 2794 1257 1603 1228 1220 2760 2685
510 1486 799 1002 423 2179 1595 1607 1020 2203 895 2482 2599 2113 1249 1978 1205 1021 3857 1943
1138 3608 1299 721 664 3182 2554 2071 1405 3970 2166 4096 2340 5071 879 2892 1840 957 3090 4936
628 3416 901 961 1034 1632 2120 4023 862 2534 964 4036 5265 3217 1936 2559 927 814 3012 2379
975 3643 1543 862 1341 4383 2513 2122 1137 3526 2055 4407 8079 3253 2602 1917 2017 1997 8185 4321
177 275 221 196 207 688 488 420 301 680 208 852 600 833 321 379 238 274 733 654
1066 2641 1253 2904 984 3729 2753 3287 1818 5642 2023 4550 5875 2359 2829 4117 1427 1373 4358 2841
690 1962 1139 1438 1115 2903 1926 1707 1084 1802 2569 3183 3716 7849 2810 2908 1633 940 3154 2587
1019 2753 754 1189 571 3657 1447 2511 935 2513 2177 4456 4168 6724 934 2052 1423 1416 3980 2455
3139 8889 4572 6042 3075 4462 9518 13359 4241 9883 9091 12532 14315 29218 4376 3602 4027 8185 15268 7525
1168 3645 1692 1569 661 3390 2141 4753 810 3364 2133 6505 4084 3645 1240 4028 1453 1406 3511 3072
166 532 115 141 174 381 509 553 155 544 231 880 421 542 380 237 242 153 669 363
657 1393 812 772 714 1137 791 2395 674 1832 1457 2077 3031 3772 433 1322 1201 1012 1964 2395
1254 2661 796 603 999 4927 3086 4267 1545 2389 1963 4022 6502 5200 2263 911 2023 1932 5115 2395
1105 1362 1233 1290 471 1918 1692 3933 1392 4494 2964 4729 2557 5183 2787 3399 2378 1417 4753 2318
1206 2938 1051 1106 1698 3616 2150 3411 692 2462 2521 3002 4671 3918 2376 1632 1789 1911 7008 2292
746 1311 603 638 1224 1298 1204 3045 652 1828 808 2076 3379 2809 1052 1918 1493 793 2444 1306
1267 5608 1811 2760 1483 7957 4900 15026 1801 12436 7699 19396 16349 15098 8986 14903 14265 5225 14597 24233
457 2105 865 605 862 1915 1708 3555 625 940 1195 3173 1398 3348 1052 1003 1294 769 2152 3023
208 725 215 302 124 644 347 1018 424 755 315 1457 1368 752 648 562 333 272 1174 956
922 2465 1529 802 822 2712 2465 5314 1395 2567 1935 3661 4338 3158 2058 2260 1648 1300 4800 2468
512 1431 723 922 558 2569 596 3769 785 1580 1135 2827 2536 4675 995 1536 1703 905 1829 1567
479 1386 609 356 484 965 804 1833 372 1033 725 1296 1315 1087 799 1178 652 384 1035 1251
1336 3300 2022 1235 531 5939 2954 2660 435 3376 7348 8333 8856 14313 3164 8741 3522 7534 11597 7170
492 1661 1113 519 803 1663 1455 1628 1060 1064 897 3432 1695 2854 1208 1172 1064 632 1348 1931
514 937 682 951 1018 2322 729 918 751 2380 505 3654 4205 2824 1569 829 1337 1126 2330 2963
1417 1535 2028 1268 1195 3479 3420 3553 1196 5838 2339 4276 8127 4877 1226 2151 1687 899 3337 1973
336 952 455 420 424 765 938 1337 374 1241 1097 1218 1023 1204 1072 1410 816 620 1499 644
603 2743 1196 1783 1365 3801 2940 9874 1835 6812 4101 1733 3965 7007 2504 3183 1599 1863 5758 4507
799 2385 2170 932 1114 4722 2598 2227 1459 2022 1368 3845 4275 5574 1603 2051 3008 2188 5500 4407
741 877 408 786 345 1504 1270 1094 410 725 697 1449 1638 2468 999 976 567 620 1959 734
1975 2890 1058 1909 1418 3667 3833 4830 1831 3765 1483 3252 4650 4153 2471 2713 974 1193 3299 2504
1126 2484 1173 1220 781 3774 3561 3494 937 3740 3320 5345 4655 10119 4237 4636 4313 3513 5965 4525
231 1328 848 1140 623 2234 887 1698 629 1791 923 2166 911 2804 1644 1029 660 1022 2649 1553
874 3435 1285 1029 1336 2468 2702 3890 1810 1685 2592 5636 3134 2856 1311 1953 1280 1188 3109 3901
802 2482 995 1782 448 1476 2214 2322 1648 2087 1797 5372 3041 3888 1416 2547 876 927 3256 3413
1419 3491 1406 1443 1427 2577 2392 4196 1950 1665 3380 6221 7910 4724 2438 2173 2368 1823 8318 4429
